1.000000000000000000e+00,8.720039035796816052e-01,7.603908078582026775e-01
2.000000000000000000e+00,7.691394760721654844e-01,5.915755336525652108e-01
3.000000000000000000e+00,7.323616620055850568e-01,5.363536039755828488e-01
4.000000000000000000e+00,7.181397119196988310e-01,5.157246458361079977e-01
5.000000000000000000e+00,7.102598557582595618e-01,5.044690627017436313e-01
6.000000000000000000e+00,7.046389111776135694e-01,4.965159951455727083e-01
7.000000000000000000e+00,7.007506433760102293e-01,4.910514641918922729e-01
8.000000000000000000e+00,6.973175980263701668e-01,4.862518325172663358e-01
9.000000000000000000e+00,6.947934798949084723e-01,4.827379797044765164e-01
1.000000000000000000e+01,6.924384787660672336e-01,4.794710468758653921e-01
1.100000000000000000e+01,6.901047109006044344e-01,4.762445120072068550e-01
1.200000000000000000e+01,6.882051978466403597e-01,4.736263943431333612e-01
1.300000000000000000e+01,6.865850768127592652e-01,4.713990677019825326e-01
1.400000000000000000e+01,6.851058135143637262e-01,4.693699757111781112e-01
1.500000000000000000e+01,6.840654105592776091e-01,4.679454859236331088e-01
1.600000000000000000e+01,6.830482107498486721e-01,4.665548582085697338e-01
1.700000000000000000e+01,6.821157079536274148e-01,4.652818390370783153e-01
1.800000000000000000e+01,6.812689178823587710e-01,4.641273384726001261e-01
1.900000000000000000e+01,6.804262606920188361e-01,4.629798962393231743e-01
2.000000000000000000e+01,6.798754535006268362e-01,4.622306322726830174e-01
2.100000000000000000e+01,6.791353021363081277e-01,4.612247586077745654e-01
2.200000000000000000e+01,6.782722823488930297e-01,4.600532890027764776e-01
2.300000000000000000e+01,6.774559293835688001e-01,4.589465362569550289e-01
2.400000000000000000e+01,6.766907631937859602e-01,4.579103889917884862e-01
2.500000000000000000e+01,6.759989469694646091e-01,4.569745763038250419e-01
2.600000000000000000e+01,6.753226708666291156e-01,4.560607097864375348e-01
2.700000000000000000e+01,6.747458591287367469e-01,4.552819744113770772e-01
2.800000000000000000e+01,6.742277921531324436e-01,4.545831157116875798e-01
2.900000000000000000e+01,6.736031435235868559e-01,4.537411949648579856e-01
3.000000000000000000e+01,6.730098396430378438e-01,4.529422442563475482e-01
3.100000000000000000e+01,6.724459790450330043e-01,4.521835947338329609e-01
3.200000000000000000e+01,6.719916521127252684e-01,4.515727805091900304e-01
3.300000000000000000e+01,6.715879887384355040e-01,4.510304266177369570e-01
3.400000000000000000e+01,6.711849125337084887e-01,4.504891868128819143e-01
